CPU Name ,"CPU Mark
","Rank
"
Intel Xeon W-3345 @ 3.00GHz,"47,664",227
Intel Xeon w5-2555X,"47,638",228
AMD EPYC 4464P,"47,312",229
ARM Ampere-1a 192 Core 2600 MHz,"47,202",230
Intel Xeon Gold 6444Y,"47,176",231
Intel Core i9-14900F,"47,175",232
Intel Xeon Gold 6342 @ 2.80GHz,"47,076",233
Intel Xeon Gold 5418Y,"46,841",234
Intel Xeon Platinum 8368Q @ 2.60GHz,"46,681",235
AMD Ryzen 9 PRO 7945,"46,651",236
Intel Core i9-13980HX,"46,380",237
Intel Xeon W-3175X @ 3.10GHz,"46,125",238
AMD EPYC 73F3,"46,103",239
AMD EPYC 7402,"46,012",240
AMD EPYC 7452,"45,875",241
Intel Core i7-13700K,"45,867",242
Intel Xeon w5-3435X,"45,857",243
Intel Core i7-13700KF,"45,809",244
Intel Core i9-13900,"45,664",245
Intel Xeon Gold 6336Y @ 2.40GHz,"45,517",246
Intel Xeon w5-2465X,"45,515",247
AMD EPYC 8224P,"45,421",248
AMD Ryzen 9 5950X,"45,420",249
AMD EPYC 7542,"45,359",250
Intel Core i9-14900,"45,298",251
Intel Core i9-14900HX,"45,259",252
AMD EPYC 9224,"45,223",253
Intel Xeon Gold 6526Y,"45,036",254
AMD Ryzen 9 7845HX,"44,975",255
Intel Xeon Gold 6538N,"44,895",256
Intel Core i7-13790F,"44,737",257
Intel Xeon Silver 4416+,"44,140",258
AMD Ryzen 9 5900XT,"43,976",259
AMD EPYC 9124,"43,846",260
Apple M4 Max 16 Core,"43,836",261
AMD EPYC 7402P,"43,759",262
Intel Core i9-12900KS,"43,718",263
AMD EPYC 7343,"43,644",264
Intel Core Ultra 5 245K,"43,531",265
AMD Ryzen AI Max Pro 390,"43,511",266
Intel Core Ultra 5 245KF,"43,395",267
ARM Neoverse-N1 128 Core 2800 MHz,"43,111",268
Intel Core i9-13900T,"43,036",269
Intel Core i9-13900HX,"43,010",270
AMD EPYC 7D12,"42,900",271
AMD Ryzen 7 7840HX,"42,614",272
Intel Xeon Gold 6312U @ 2.40GHz,"42,443",273
AMD Ryzen AI Max 390,"42,429",274
Intel Xeon Gold 6338N @ 2.20GHz,"42,086",275
Intel Xeon Gold 6330 @ 2.00GHz,"42,072",276
Intel Core i7-14700F,"41,646",277
Intel Core i9-13950HX,"41,633",278
Intel Core i7-14700,"41,496",279
Intel Xeon W-3275 @ 2.50GHz,"41,469",280
Apple M1 Ultra 20 Core,"41,392",281
AMD EPYC 7F52,"41,322",282
Apple M3 Max 16 Core,"41,214",283
Intel Core i9-12900K,"41,208",284
Intel Xeon w5-2545,"41,133",285
AMD EPYC 7313P,"41,121",286
Intel Core i9-12900KF,"40,958",287
Intel Xeon Platinum 8275CL @ 3.00GHz,"40,794",288
Intel Xeon Gold 6416H,"40,606",289
Intel Core i9-13900E,"40,505",290
Intel Xeon W-3275M @ 2.50GHz,"40,419",291
AMD EPYC 7352,"40,370",292
Intel Xeon Gold 6258R @ 2.70GHz,"40,252",293
AMD Ryzen Threadripper PRO 5945WX,"40,207",294
AMD Ryzen Threadripper PRO 3955WX,"40,156",295
Intel Core Ultra 5 235,"40,106",296
Intel Core Ultra 5 245HX,"40,059",297
AMD Ryzen 7 9800X3D,"39,995",298
Intel Xeon Gold 6354 @ 3.00GHz,"39,400",299
Intel Xeon W-3335 @ 3.40GHz,"39,293",300
ARM Neoverse-N1 128 Core 3000 MHz,"39,163",301
AMD Ryzen 9 5900X,"38,995",302
Intel Core i9-14900T,"38,889",303
Intel Core Ultra 5 245,"38,809",304
Intel Core i5-14600KF,"38,689",305
Intel Core i5-14600K,"38,681",306
AMD EPYC 7313,"38,644",307
AMD Ryzen 9 3950X,"38,578",308
Intel Xeon Gold 6450C,"38,571",309
Intel Xeon Gold 6338 @ 2.00GHz,"38,520",310
Intel Core Ultra 7 265T,"38,483",311
Apple M4 Max 14 Core,"38,444",312
Intel Core i7-13700F,"38,352",313
Intel Xeon Platinum 8180 @ 2.50GHz,"38,259",314
AMD EPYC 7551P,"38,236",315
Apple M4 Pro 14 Core,"38,218",316
Intel Xeon Gold 6346 @ 3.10GHz,"37,695",317
Intel Core i5-13600K,"37,672",318
AMD EPYC 4345P,"37,671",319
Intel Xeon Gold 5320 @ 2.20GHz,"37,558",320
Intel Core i5-13600KF,"37,492",321
Intel Xeon Platinum 8273CL @ 2.20GHz,"37,320",322
Intel Xeon w5-2455X,"37,268",323
Intel Core i7-14700HX,"37,178",324
AMD Ryzen 7 9700X,"37,153",325
Intel Xeon Gold 6426Y,"37,068",326
Intel Core Ultra 9 285T,"36,940",327
Intel Xeon Platinum 8280 @ 2.70GHz,"36,830",328
Intel Core i7-13850HX,"36,732",329
Intel Xeon Gold 6242R @ 3.10GHz,"36,671",330
Apple M3 Max 14 Core,"36,472",331
Intel Core i7-13700,"36,384",332
Intel Xeon Gold 6330N @ 2.20GHz,"36,360",333
Intel Xeon w5-3425,"36,147",334
Intel Core i7-14790F,"36,109",335
AMD EPYC 8124P,"36,014",336
Intel Core i9-12900F,"35,887",337
Intel Xeon Gold 5416S,"35,814",338
Intel Xeon Gold 6338T @ 2.10GHz,"35,801",339
AMD Ryzen 7 7700X,"35,656",340
Intel Xeon Gold 6248R @ 3.00GHz,"35,434",341
Intel Xeon w3-2535,"35,270",342
ARM Neoverse-N1 80 Core 3000 MHz,"35,253",343
AMD Ryzen AI 9 HX 370,"35,160",344
AMD EPYC 7601,"35,059",345
Intel Core i7-14650HX,"34,891",346
ARM Neoverse-N1 80 Core 0 MHz,"34,878",347
AMD Ryzen 7 PRO 7745,"34,827",348
AMD EPYC 4364P,"34,811",349
Intel Xeon Gold 6238R @ 2.20GHz,"34,751",350
Intel Xeon w5-3433,"34,722",351
Intel Xeon Platinum 8268 @ 2.90GHz,"34,604",352
Intel Xeon Platinum 8260M @ 2.40GHz,"34,592",353
Intel Xeon Gold 6268CL @ 2.80GHz,"34,558",354
AMD Ryzen 9 PRO 5945,"34,549",355
AMD Ryzen 7 7700,"34,466",356
Intel Xeon Platinum 8260C @ 2.40GHz,"34,420",357
Intel Core i7-12700K,"34,392",358
AMD Ryzen 7 7800X3D,"34,291",359
Intel Xeon Gold 6326 @ 2.90GHz,"34,240",360
Intel Core Ultra 7 265H,"34,230",361
Intel Xeon W-3265M @ 2.70GHz,"34,147",362
Intel Core i7-12700KF,"34,095",363
Intel Core i7-13700E,"34,030",364
Intel Xeon Platinum 8260M @ 2.30GHz,"33,970",365
AMD Ryzen 9 5900,"33,919",366
Intel Xeon D-2799 @ 2.40GHz,"33,792",367
Intel Core Ultra 9 285H,"33,716",368
AMD EPYC 4344P,"33,690",369
Intel Xeon Gold 6230R @ 2.10GHz,"33,608",370
Intel Core i9-12900,"33,605",371
AMD Ryzen Threadripper PRO 3945WX,"33,490",372
AMD Ryzen AI 9 HX PRO 375,"33,483",373
AMD Ryzen AI Max Pro 385,"33,441",374
Intel Xeon Gold 6240R @ 2.40GHz,"33,353",375
Intel Core i5-14600,"33,200",376
Intel Xeon Gold 5318Y @ 2.10GHz,"33,139",377
Intel Core i9-12900HX,"33,130",378
AMD EPYC 7302,"33,106",379
Intel Xeon Silver 4510,"33,004",380
Apple M4 Pro 12 Core,"32,948",381
Intel Xeon Gold 6278C @ 2.60GHz,"32,835",382
AMD Ryzen AI 9 HX 375,"32,779",383
AMD EPYC 7302P,"32,690",384
Intel Xeon Gold 6254 @ 3.10GHz,"32,599",385
AMD Ryzen 7 7745HX,"32,582",386
Intel Core i7-13700HX,"32,578",387
AMD Ryzen 9 3900XT,"32,573",388
AMD Ryzen 9 3900X,"32,543",389
Intel Core i9-10980XE @ 3.00GHz,"32,421",390
Intel Core 5 221E,"32,388",391
Intel Xeon Platinum 8168 @ 2.70GHz,"32,373",392
Intel Xeon w5-2445,"32,221",393
AMD Ryzen Threadripper 2990WX,"32,194",394
Intel Xeon E-2488,"32,045",395
Intel Core Ultra 5 245T,"32,036",396
Intel Core Ultra 5 235T,"31,941",397
Intel Xeon Silver 4316 @ 2.30GHz,"31,892",398
Qualcomm Snapdragon X Elite - X1E001DE,"31,863",399
Intel Core i5-13600,"31,725",400
Intel Xeon Gold 5320H @ 2.40GHz,"31,718",401
AMD Ryzen 7 8700G,"31,661",402
Intel Core i9-12950HX,"31,660",403
AMD Ryzen AI 9 HX PRO 370,"31,630",404
Intel Core 9 270H,"31,602",405
Intel Core i7-12800HX,"31,585",406
Intel Core i9-9980XE @ 3.00GHz,"31,569",407
Intel Core i5-14500,"31,546",408
Intel Core Ultra 5 225F,"31,436",409
Intel Xeon Platinum 8259CL @ 2.50GHz,"31,403",410
AMD Ryzen 7 8700F,"31,369",411
AMD Ryzen 9 PRO 3900,"31,333",412
AMD EPYC 4245P,"31,316",413
Intel Core i5-13500,"31,253",414
Intel Core Ultra 5 225,"31,109",415
AMD Ryzen 7 PRO 8700G,"31,094",416
Intel Xeon W-3245 @ 3.20GHz,"31,066",417
AMD Ryzen 7 255,"31,040",418
AMD Ryzen Threadripper 2970WX,"30,948",419
Intel Xeon W-2295 @ 3.00GHz,"30,924",420
ARM Neoverse-N1 60 Core 0 MHz,"30,828",421
Intel Core i7-14700T,"30,797",422
AMD EPYC 7371,"30,782",423
Intel Core i7-13650HX,"30,686",424
Intel Core i7-12850HX,"30,646",425
AMD Ryzen 9 3900,"30,581",426
AMD EPYC Embedded 7292P,"30,542",427
Intel Core Ultra 7 255H,"30,484",428
Intel Xeon Gold 6246R @ 3.40GHz,"30,468",429
Intel Core i7-12700F,"30,428",430
Intel Xeon Gold 5220R @ 2.20GHz,"30,372",431
Intel Xeon Platinum 8260 @ 2.40GHz,"30,347",432
AMD Ryzen 9 8945H,"30,338",433
Intel Xeon Platinum 8180M @ 2.50GHz,"30,313",434
Intel Core i7-12700,"30,255",435
AMD Ryzen 7 H 260,"30,214",436
Intel Core i9-9990XE @ 4.00GHz,"30,162",437
AMD EPYC 7282,"30,137",438
Intel Xeon W-3265 @ 2.70GHz,"30,105",439
AMD Ryzen 9 7940HS,"30,093",440
AMD Ryzen 5 9600X,"30,013",441
Intel Xeon Platinum 8270 @ 2.70GHz,"29,986",442
AMD Ryzen 9 PRO 8945HS,"29,910",443
Intel Core i9-9960X @ 3.10GHz,"29,898",444
ARM Neoverse-N1 96 Core 2800 MHz,"29,890",445
Intel Core i9-13905H,"29,859",446
AMD Ryzen 7 260,"29,769",447
AMD Ryzen 9 8945HS,"29,759",448
Intel Core i9-7980XE @ 2.60GHz,"29,714",449
Intel Xeon 6369P,"29,680",450
AMD Ryzen 7 8745H,"29,661",451
Intel Xeon Platinum 8171M @ 2.60GHz,"29,613",452
Intel Core i9-12900T,"29,601",453
AMD Ryzen AI 9 365,"29,577",454
Intel Xeon Gold 6248 @ 2.50GHz,"29,570",455
Intel Xeon Gold 6534,"29,494",456
AMD Ryzen Threadripper 2950X,"29,473",457
Intel Core Ultra 9 185H,"29,388",458
Intel Xeon Gold 5318H @ 2.50GHz,"29,301",459
AMD Ryzen 9 270,"29,282",460
AMD Ryzen 7 8745HS,"29,235",461
Intel Xeon Silver 4510T,"29,119",462
Intel Xeon Gold 6238 @ 2.10GHz,"29,118",463
Intel Xeon Gold 6148 @ 2.40GHz,"29,116",464
Intel Xeon Silver 4314 @ 2.40GHz,"29,095",465
AMD Ryzen 9 7940H,"29,063",466
Intel Xeon Gold 6266C @ 3.00GHz,"29,049",467
Intel Core i5-14500HX,"29,042",468
Intel Xeon Silver 4514Y,"29,032",469
Intel Core Ultra 5 225H,"28,980",470
Intel Xeon Silver 4410T,"28,955",471
AMD Ryzen AI 9 H 365,"28,941",472
AMD Ryzen 7 PRO 8845HS,"28,925",473
AMD Ryzen 5 9600,"28,736",474
Intel Core i5-14490F,"28,662",475
AMD Ryzen 7 7840HS,"28,631",476
Intel Xeon Platinum 8160 @ 2.10GHz,"28,587",477
Intel Core Ultra 5 235H,"28,578",478
AMD EPYC 7303,"28,572",479
Intel Xeon Gold 6253CL @ 3.10GHz,"28,549",480
AMD Ryzen 7 8845HS,"28,487",481
Intel Xeon D-2795NT @ 2.00GHz,"28,463",482
AMD Ryzen 5 7600X,"28,376",483
AMD Ryzen 7 5800X3D,"28,309",484
Intel Xeon W-2191B @ 2.30GHz,"28,307",485
AMD Ryzen 7 PRO 8700GE,"28,238",486
Intel Xeon Gold 6210U @ 2.50GHz,"28,219",487
Intel Core i7-12700E,"28,193",488
Intel Core i7-13700T,"28,190",489
Intel Core i9-12900E,"28,170",490
Intel Xeon w3-2525,"28,167",491
Intel Xeon w5-3423,"28,151",492
Intel Xeon Platinum 8252C @ 3.80GHz,"28,147",493
Intel Core i9-9940X @ 3.30GHz,"28,124",494
Intel Core i9-7960X @ 2.80GHz,"28,122",495
Intel Xeon Gold 6434,"28,111",496
Intel Core i5-13600HX,"28,085",497
Intel Xeon W-3245M @ 3.20GHz,"28,067",498
ARM Neoverse-N1 64 Core 0 MHz,"28,040",499
Intel Xeon Platinum 8173M @ 2.00GHz,"28,025",500
Intel Core i9-13900HK,"28,005",501
Intel Xeon W-2275 @ 3.30GHz,"27,994",502
AMD Ryzen 7 5800XT,"27,965",503
AMD Ryzen 9 PRO 7940HS,"27,964",504
AMD Ryzen 7 7840H,"27,919",505
Intel Xeon W-2195 @ 2.30GHz,"27,914",506
AMD EPYC 7401P,"27,836",507
Intel Xeon W-3323 @ 3.50GHz,"27,822",508
Intel Core i9-10940X @ 3.30GHz,"27,779",509
AMD Ryzen 7 5800X,"27,730",510
Intel Core i5-13500HX,"27,706",511
Intel Xeon 6353P,"27,662",512
Intel Core i9-13900H,"27,609",513
Intel Core i5-12600K,"27,604",514
Intel Core i5-12600KF,"27,591",515
AMD Ryzen 5 PRO 7645,"27,565",516
AMD Ryzen Threadripper 1950X,"27,562",517
Intel Xeon Gold 6154 @ 3.00GHz,"27,560",518
Intel Core i7-14701TE,"27,519",519
Intel Xeon Gold 6212U @ 2.40GHz,"27,470",520
Intel Xeon Gold 5317 @ 3.00GHz,"27,448",521
AMD EPYC 7571,"27,445",522
Intel Xeon E-2478,"27,370",523
AMD Ryzen AI 7 H 350,"27,316",524
Intel Core i9-12900H,"27,313",525
Intel Xeon D-2775TE @ 2.00GHz,"27,299",526
ARM Neoverse-N1 48 Core 0 MHz,"27,266",527
AMD EPYC 72F3,"27,252",528
AMD Ryzen 7 8845H,"27,244",529
AMD EPYC 4244P,"27,164",530
Intel Xeon Gold 6252 @ 2.10GHz,"27,148",531
Intel Core i5-13600T,"27,098",532
Intel Core i5-14600T,"27,057",533
AMD Ryzen 5 7600,"27,046",534
AMD Ryzen 7 PRO 8840HS,"27,005",535
Intel Core i5-13400E,"27,000",536
Intel Core i7-12800HE,"26,907",537
Intel Xeon E5-2699A v4 @ 2.40GHz,"26,850",538
AMD Ryzen 7 PRO 7840HS,"26,826",539
AMD Ryzen 5 7500F,"26,823",540
Apple M2 Max 12 Core 3680 MHz,"26,778",541
Apple M2 Pro 12 Core 3480 MHz,"26,689",542
Intel Xeon Platinum 8175M @ 2.50GHz,"26,659",543
AMD Ryzen 7 5700X,"26,614",544
Intel Core i5-13490F,"26,569",545
AMD Ryzen AI Max 385,"26,556",546
Intel Xeon Gold 5515+,"26,501",547
AMD Ryzen 5 7645HX,"26,476",548
Intel Core i7-13800H,"26,470",549
Intel Xeon Gold 6150 @ 2.70GHz,"26,447",550
Intel Xeon w3-2435,"26,434",551
Intel Xeon Gold 6226R @ 2.90GHz,"26,405",552
Intel Core i7-13700H,"26,369",553
Intel Xeon D-2796TE @ 2.00GHz,"26,342",554
AMD Ryzen Z2 Extreme,"26,313",555
AMD Ryzen 7 5700X3D,"26,312",556
Intel Xeon E-2468,"26,224",557
